building_floor,building_desc,latitude,longitude,building_type,capacity,mean_density_cnt,max_density_cnt,average_dc_ratio,max_dc_ratio,Residential Building Type,Mechanical Ventilation
15,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,8.019678565745505,39,0.16039357131491,0.78,Large Dormitory-Style,Yes
1,147 BAY STATE ROAD,42.3505,-71.1001,Academic,15,7.957460053953103,37,0.5304973369302068,2.466666666666667,,No
1,32 HARRY AGGANIS WAY,42.3525,-71.1186,Administrative,9,7.943988776170947,103,0.8826654195745497,11.444444444444445,,Yes
8,8 ST. MARY'S STREET,42.3492,-71.1061,Research,148,7.747185981069327,41,0.0523458512234413,0.277027027027027,,Yes
4,745 - 755 COMMONWEALTH AVENUE,42.3505,-71.1073,Academic,83,7.742614707730986,58,0.0932845145509757,0.6987951807228916,,Partial
1,53 BAY STATE ROAD,42.3502,-71.0951,Academic,20,7.671224802546269,43,0.3835612401273134,2.15,,No
4,24 CUMMINGTON MALL,42.3483,-71.1017,Research,116,7.659338401479351,31,0.0660287793230978,0.2672413793103448,,Yes
6,610 COMMONWEALTH AVENUE,42.349,-71.1015,Research,134,7.408841541209492,35,0.055289862247832,0.2611940298507462,,Yes
-1,141 BAY STATE ROAD,42.3505,-71.0998,Academic,0,7.361328538184895,48,inf,inf,,No
13,33 HARRY AGGANIS WAY,42.3532,-71.1178,Residential,50,7.359665184410149,34,0.147193303688203,0.68,Large Dormitory-Style,Yes
5,704 COMMONWEALTH AVENUE,42.3494,-71.1053,Academic,30,7.308346563846677,130,0.2436115521282225,4.333333333333333,,No
7,44 CUMMINGTON MALL,42.3485,-71.1028,Research,65,7.258105107327905,47,0.1116631554973524,0.7230769230769231,,Yes
6,881 COMMONWEALTH AVENUE,42.3514,-71.1153,Administrative,97,7.220893141945774,40,0.0744421973396471,0.4123711340206185,,Yes
5,635 COMMONWEALTH AVENUE,42.3499,-71.102,Research,79,7.14382337927514,58,0.0904281440414574,0.7341772151898734,,Yes
3,1010 COMMONWEALTH AVENUE,42.3513,-71.121,Academic,59,7.05223259683831,30,0.1195293660481069,0.5084745762711864,,Yes
4,820 COMMONWEALTH AVENUE,42.35,-71.1122,Academic,92,7.047301912568306,45,0.0766011077453076,0.4891304347826087,,Yes
